Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
OPES_HeathCheck,,,,2019-09-16 15:20:50,2019-09-16 15:20:56,6.092s,INCOMPLETE
,,,,,,,
Test Cases/AccessNode/AcceeNode_Tally_push_Valid,,,,2019-09-16 15:20:50,2019-09-16 15:20:52,2.504s,PASSED
"sendRequest(findTestObject(""AccessNode_tally_param_Valid""))",,,,2019-09-16 15:20:50,2019-09-16 15:20:52,2.268s,PASSED
,,,,,,,
Test Cases/AccessNode/AccessNode_tally_param_Invalid,,,,2019-09-16 15:20:52,2019-09-16 15:20:53,0.949s,PASSED
"sendRequest(findTestObject(""AccessNode_tally_param_Invalid""))",,,,2019-09-16 15:20:53,2019-09-16 15:20:53,0.183s,PASSED
"response = sendRequestAndVerify(findTestObject(""AccessNode_tally_param_Invalid""))",,,,2019-09-16 15:20:53,2019-09-16 15:20:53,0.605s,PASSED
"verifyResponseStatusCode(response, 401)",,,,2019-09-16 15:20:53,2019-09-16 15:20:53,0.003s,PASSED
,,,,,,,
Test Cases/AccessNode/AccessNode_tally_param_without_header,,test,,2019-09-16 15:20:53,2019-09-16 15:20:54,0.740s,PASSED
"sendRequest(findTestObject(""AccessNode_tally_param_without_header""))",,,,2019-09-16 15:20:53,2019-09-16 15:20:54,0.220s,PASSED
"withoutheader = sendRequestAndVerify(findTestObject(""AccessNode_tally_param_without_header""))",,,,2019-09-16 15:20:54,2019-09-16 15:20:54,0.359s,PASSED
"verifyElementPropertyValue(withoutheader, ""message"", ""Required Header [X-API-Version] not specified"")",,,,2019-09-16 15:20:54,2019-09-16 15:20:54,0.018s,PASSED
,,,,,,,
Test Cases/API_Gateway_Service/API_Gateway_Service_Community,,,,2019-09-16 15:20:54,2019-09-16 15:20:55,0.904s,FAILED
"sendRequest(findTestObject(""API Gateway Services/API_Gateway_Service_Community""))",,,,2019-09-16 15:20:54,2019-09-16 15:20:55,0.352s,PASSED
"apigateway = sendRequestAndVerify(findTestObject(""API Gateway Services/API_Gateway_Service_Community""))",,,,2019-09-16 15:20:55,2019-09-16 15:20:55,0.388s,FAILED
,,,,,,,
Test Cases/API_Gateway_Service/API_Gateway_Service_Community_with_id,,,,2019-09-16 15:20:55,2019-09-16 15:20:56,0.758s,PASSED
"sendRequest(findTestObject(""API Gateway Services/API_Gateway_Service_Community_with_id""))",,,,2019-09-16 15:20:55,2019-09-16 15:20:55,0.248s,PASSED
"response = sendRequestAndVerify(findTestObject(""API Gateway Services/API_Gateway_Service_Community_with_id""))",,,,2019-09-16 15:20:55,2019-09-16 15:20:56,0.327s,PASSED
"verifyElementPropertyValue(response, ""meta.first"", ""blkgw.qa.objectcomputing-opes-one.com/bl/communities?page=0&key=.ctstr111111"")",,,,2019-09-16 15:20:56,2019-09-16 15:20:56,0.011s,PASSED
