Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
OPES_HeathCheck,,,,2019-09-16 15:45:44,2019-09-16 15:45:50,6.074s,INCOMPLETE
,,,,,,,
Test Cases/AccessNode/AcceeNode_Tally_push_Valid,,,,2019-09-16 15:45:44,2019-09-16 15:45:47,2.592s,PASSED
"sendRequest(findTestObject(""AccessNode_tally_param_Valid""))",,,,2019-09-16 15:45:44,2019-09-16 15:45:47,2.365s,PASSED
,,,,,,,
Test Cases/AccessNode/AccessNode_tally_param_Invalid,,,,2019-09-16 15:45:47,2019-09-16 15:45:48,1.011s,PASSED
"sendRequest(findTestObject(""AccessNode_tally_param_Invalid""))",,,,2019-09-16 15:45:47,2019-09-16 15:45:47,0.251s,PASSED
"response = sendRequestAndVerify(findTestObject(""AccessNode_tally_param_Invalid""))",,,,2019-09-16 15:45:47,2019-09-16 15:45:48,0.598s,PASSED
"verifyResponseStatusCode(response, 401)",,,,2019-09-16 15:45:48,2019-09-16 15:45:48,0.002s,PASSED
,,,,,,,
Test Cases/AccessNode/AccessNode_tally_param_without_header,,test,,2019-09-16 15:45:48,2019-09-16 15:45:48,0.813s,PASSED
"sendRequest(findTestObject(""AccessNode_tally_param_without_header""))",,,,2019-09-16 15:45:48,2019-09-16 15:45:48,0.232s,PASSED
"withoutheader = sendRequestAndVerify(findTestObject(""AccessNode_tally_param_without_header""))",,,,2019-09-16 15:45:48,2019-09-16 15:45:48,0.416s,PASSED
"verifyElementPropertyValue(withoutheader, ""message"", ""Required Header [X-API-Version] not specified"")",,,,2019-09-16 15:45:48,2019-09-16 15:45:48,0.014s,PASSED
,,,,,,,
Test Cases/API_Gateway_Service/API_Gateway_Service_Community,,,,2019-09-16 15:45:48,2019-09-16 15:45:49,0.678s,PASSED
"sendRequest(findTestObject(""API Gateway Services/API_Gateway_Service_Community""))",,,,2019-09-16 15:45:49,2019-09-16 15:45:49,0.225s,PASSED
"apigateway = sendRequestAndVerify(findTestObject(""API Gateway Services/API_Gateway_Service_Community""))",,,,2019-09-16 15:45:49,2019-09-16 15:45:49,0.306s,PASSED
"verifyElementPropertyValue(apigateway, ""communities[1].title"", ""The cntstr111112 CN"")",,,,2019-09-16 15:45:49,2019-09-16 15:45:49,0.017s,PASSED
,,,,,,,
Test Cases/API_Gateway_Service/API_Gateway_Service_Community_with_id,,,,2019-09-16 15:45:49,2019-09-16 15:45:50,0.728s,PASSED
"sendRequest(findTestObject(""API Gateway Services/API_Gateway_Service_Community_with_id""))",,,,2019-09-16 15:45:49,2019-09-16 15:45:50,0.225s,PASSED
"response = sendRequestAndVerify(findTestObject(""API Gateway Services/API_Gateway_Service_Community_with_id""))",,,,2019-09-16 15:45:50,2019-09-16 15:45:50,0.350s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-09-16 15:45:50,2019-09-16 15:45:50,0.001s,PASSED
"verifyElementPropertyValue(response, ""meta.first"", ""blkgw.qa.objectcomputing-opes-one.com/bl/communities?page=0&key=.ctstr111111"")",,,,2019-09-16 15:45:50,2019-09-16 15:45:50,0.016s,PASSED
