Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
OPES_HeathCheck,,,,2019-09-18 10:40:34,2019-09-18 10:40:41,6.818s,INCOMPLETE
,,,,,,,
Test Cases/AccessNode/AcceeNode_Tally_push_Valid,,,,2019-09-18 10:40:34,2019-09-18 10:40:37,2.247s,PASSED
"sendRequest(findTestObject(""AccessNode_tally_param_Valid""))",,,,2019-09-18 10:40:35,2019-09-18 10:40:37,2.000s,PASSED
,,,,,,,
Test Cases/AccessNode/AccessNode_tally_param_Invalid,,,,2019-09-18 10:40:37,2019-09-18 10:40:38,1.143s,PASSED
"sendRequest(findTestObject(""AccessNode_tally_param_Invalid""))",,,,2019-09-18 10:40:37,2019-09-18 10:40:37,0.286s,PASSED
"response = sendRequestAndVerify(findTestObject(""AccessNode_tally_param_Invalid""))",,,,2019-09-18 10:40:37,2019-09-18 10:40:38,0.701s,PASSED
"verifyResponseStatusCode(response, 401)",,,,2019-09-18 10:40:38,2019-09-18 10:40:38,0.003s,PASSED
,,,,,,,
Test Cases/AccessNode/AccessNode_tally_param_without_header,,test,,2019-09-18 10:40:38,2019-09-18 10:40:39,0.779s,PASSED
"sendRequest(findTestObject(""AccessNode_tally_param_without_header""))",,,,2019-09-18 10:40:38,2019-09-18 10:40:38,0.230s,PASSED
"withoutheader = sendRequestAndVerify(findTestObject(""AccessNode_tally_param_without_header""))",,,,2019-09-18 10:40:38,2019-09-18 10:40:39,0.399s,PASSED
"verifyElementPropertyValue(withoutheader, ""message"", ""Required Header [X-API-Version] not specified"")",,,,2019-09-18 10:40:39,2019-09-18 10:40:39,0.015s,PASSED
,,,,,,,
Test Cases/API_Gateway_Service/API_Gateway_Service_Community,,,,2019-09-18 10:40:39,2019-09-18 10:40:40,0.907s,PASSED
"sendRequest(findTestObject(""API Gateway Services/API_Gateway_Service_Community""))",,,,2019-09-18 10:40:39,2019-09-18 10:40:39,0.478s,PASSED
"apigateway = sendRequestAndVerify(findTestObject(""API Gateway Services/API_Gateway_Service_Community""))",,,,2019-09-18 10:40:39,2019-09-18 10:40:39,0.277s,PASSED
"verifyElementPropertyValue(apigateway, ""communities[1].title"", ""The cntstr111112 CN"")",,,,2019-09-18 10:40:39,2019-09-18 10:40:40,0.018s,PASSED
,,,,,,,
Test Cases/API_Gateway_Service/API_Gateway_Service_Community_with_id,,,,2019-09-18 10:40:40,2019-09-18 10:40:40,0.770s,PASSED
"sendRequest(findTestObject(""API Gateway Services/API_Gateway_Service_Community_with_id""))",,,,2019-09-18 10:40:40,2019-09-18 10:40:40,0.241s,PASSED
"response = sendRequestAndVerify(findTestObject(""API Gateway Services/API_Gateway_Service_Community_with_id""))",,,,2019-09-18 10:40:40,2019-09-18 10:40:40,0.378s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-09-18 10:40:40,2019-09-18 10:40:40,0.002s,PASSED
"verifyElementPropertyValue(response, ""meta.first"", ""blkgw.qa.objectcomputing-opes-one.com/bl/communities?page=0&key=.ctstr111111"")",,,,2019-09-18 10:40:40,2019-09-18 10:40:40,0.015s,PASSED
,,,,,,,
Test Cases/AccessNode/AccessNode_PayLoad,,,,2019-09-18 10:40:40,2019-09-18 10:40:41,0.741s,FAILED
"sendRequest(findTestObject(""AccessNode_PayLaod""))",,,,2019-09-18 10:40:40,2019-09-18 10:40:41,0.242s,PASSED
"response = sendRequestAndVerify(findTestObject(""AccessNode_PayLaod""), STOP_ON_FAILURE)",,,,2019-09-18 10:40:41,2019-09-18 10:40:41,0.356s,FAILED
